# Hz2 Hz5 H0 Hz4 alphaBAO alphaSN Hz1 Hz3
9.189421498839257296e+00 7.765624711069645691e+00 4.236139418601824858e+00 1.256238883352955149e+01 3.946498055957924599e-03 1.010673787532473172e-03 5.039621140656262099e+00 1.054513145842339306e+01
7.765624711069645691e+00 3.810595760754015373e+02 4.697869459058920505e+00 1.189491339738879105e+01 -5.169184171796566835e-03 7.088919241274058841e-03 8.373229366164661513e+00 1.012580600862138347e+01
4.236139418601824858e+00 4.697869459058920505e+00 2.728182452731156005e+00 4.305566508078641164e+00 -6.861842667062367687e-05 -2.264281895592001724e-05 3.027199794644670483e+00 4.277555155114676211e+00
1.256238883352955149e+01 1.189491339738879105e+01 4.305566508078641164e+00 2.006616224071624117e+02 1.104561869877244626e-02 1.612857823148669545e-02 7.619502903329182786e+00 6.761091584240318753e+01
3.946498055957924599e-03 -5.169184171796566835e-03 -6.861842667062367687e-05 1.104561869877244626e-02 1.302075586984461956e-05 6.055951597654164165e-06 2.183762189686428139e-03 6.119330356061557057e-03
1.010673787532473172e-03 7.088919241274058841e-03 -2.264281895592001724e-05 1.612857823148669545e-02 6.055951597654164165e-06 8.226186086731036696e-06 2.765701672568264720e-03 5.234373230965895345e-03
5.039621140656262099e+00 8.373229366164661513e+00 3.027199794644670483e+00 7.619502903329182786e+00 2.183762189686428139e-03 2.765701672568264720e-03 4.456165771035818679e+00 5.732952024453014772e+00
1.054513145842339306e+01 1.012580600862138347e+01 4.277555155114676211e+00 6.761091584240318753e+01 6.119330356061557057e-03 5.234373230965895345e-03 5.732952024453014772e+00 2.807533016427594319e+01
